year_month,total,injuries,injury_rate,cusum_upper,cusum_lower,signal_upper,signal_lower
202403,20,3,0.15,0.0,0.0,False,False
202405,30,5,0.16666666666666666,0.07292972301737176,0.0,False,False
202406,30,2,0.06666666666666667,0.045859446034743526,0.027070276982628233,False,False
202407,32,4,0.125,0.07712250238544863,0.0,False,False
202408,38,1,0.02631578947368421,0.009701348209837937,0.06742115417561069,False,False
202409,49,1,0.02040816326530612,0.0,0.14074993455959947,False,True
202410,56,2,0.03571428571428571,0.0,0.19877259249460866,False,True
202411,65,6,0.09230769230769231,0.0,0.20020184383621126,False,True
202412,71,4,0.056338028169014086,0.0,0.23760075931649208,False,True
202501,63,7,0.1111111111111111,0.017374167461816206,0.22022659185467586,False,True
202502,66,10,0.15151515151515152,0.07515237532767283,0.16244838398881922,False,True
202503,72,7,0.09722222222222222,0.07863765390060015,0.1589631054158919,False,True
202504,82,2,0.024390243902439025,0.009290954153744285,0.22830980516274776,False,True
202505,98,4,0.04081632653061224,0.0,0.2812304222814304,False,True
202506,62,6,0.0967741935483871,0.0030372498990921953,0.2781931723823382,False,True
202507,54,7,0.12962962962962962,0.03892993587942692,0.24230048640200347,False,True
202508,47,7,0.14893617021276595,0.09412916244289797,0.18710125983853243,False,True
202509,56,6,0.10714285714285714,0.10753507593646021,0.1736953463449702,False,True
202510,80,7,0.0875,0.1012981322871653,0.17993228999426508,False,True
202511,97,13,0.13402061855670103,0.14158180719457142,0.13964861508685894,True,True
202512,90,9,0.1,0.14784486354527654,0.13338555873615382,True,False
